# Daily Dozen — le dodici caselle che Michael Greger (How Not to Die, 2015; app Dr. Greger's
# Daily Dozen) consiglia di spuntare ogni giorno. Questo file mappa le dodici categorie sugli
# id VERI di foods.csv: e' una tabella di appartenenza, non un punteggio.
#
# Le porzioni sono quelle di Greger, convertite in grammi (lui parla in cup e tablespoon):
#   fagioli               3 porzioni/giorno · 130 g cotti (mezza tazza) · 60 g di hummus · 50 g a secco
#   frutti_di_bosco       1 porzione/giorno · 70 g freschi o surgelati · 30 g secchi
#   altra_frutta          3 porzioni/giorno · 1 frutto medio · 80 g a pezzi · 40 g secca
#   crucifere             1 porzione/giorno · 45 g tritate
#   verdure_foglia_verde  2 porzioni/giorno · 30 g crude · 90 g cotte
#   altre_verdure         2 porzioni/giorno · 80 g
#   semi_di_lino          1 porzione/giorno · 10 g MACINATI (interi passano interi)
#   noci_e_semi           1 porzione/giorno · 30 g · 32 g di burro di frutta secca
#   erbe_e_spezie         1 porzione/giorno · 1 g di curcuma (un quarto di cucchiaino) + qualunque altra
#   cereali_integrali     3 porzioni/giorno · 100 g cotti · 40 g di pane · 50 g a crudo
#   bevande               5 porzioni/giorno · 340 ml (un bicchiere grande) — acqua, te', caffe'
#   esercizio             1 porzione/giorno · 90 min moderati o 40 min vigorosi — NON e' un alimento
#
# ⚠️ La colonna porzione_g e' in grammi per gli alimenti a peso e in MILLILITRI per le bevande;
# per le voci che il catalogo tiene a unita' (banana, mela, arancia, pera, pesca, mandarino,
# caffe') il numero e' il peso indicativo di una porzione, non il conteggio dei pezzi.
#
# Fuori dalle dodici per scelta di Greger, non per dimenticanza: succhi di frutta (anche al
# 100%), patate bianche, fritti, cereali raffinati, dolci, alcolici, tutto quello che viene
# dagli animali. Sta scritto nelle note delle righe che ci si avvicinano, e in RIFERIMENTI.md.
#
# Un parser deve saltare le righe che cominciano con '#'.
categoria,food_id,porzione_g,nota
noci_e_semi,semi_misti,30,"il mix di semi sullo yogurt: lino e chia dentro contano, ma solo se MACINATI - interi passano interi, ed e' il motivo per cui questa riga non spunta anche la casella semi_di_lino"
erbe_e_spezie,curry_polvere,1,"il curry contiene curcuma: e' la voce del catalogo piu' vicina a quello che Greger chiede (un quarto di cucchiaino di curcuma al giorno). Manca la curcuma pura"
erbe_e_spezie,cumino_semi,1,
erbe_e_spezie,basilico,2,"fresco: la porzione a peso e' piu' alta di quella di una spezia secca"
erbe_e_spezie,prezzemolo,5,
erbe_e_spezie,aglio,3,"uno spicchio. Il catalogo lo tiene fra le spezie; Greger lo elenca fra le altre verdure. Contarlo qui e' una scelta di questo file"
cereali_integrali,pasta_integrale,50,"peso a crudo: 50 g fanno circa mezza tazza cotta"
cereali_integrali,avena_fiocchi,40,
cereali_integrali,crusca_avena,20,"e' solo la crusca: mezza porzione, non e' un chicco intero"
cereali_integrali,pane_integrale,40,"una fetta"
cereali_integrali,pane_segale,40,"vale come integrale solo se e' segale intera: il pane di segale scuro spesso e' farina raffinata piu' colorante"
cereali_integrali,quinoa,50,"peso a crudo"
cereali_integrali,farro_perlato,50,"peso a crudo. Perlato vuol dire che la crusca e' stata tolta: e' a meta' strada, non un integrale pieno"
cereali_integrali,chapati,40,"farina integrale: e' il pane piatto indiano che conta davvero, non il naan"
cereali_integrali,injera,50,"il teff si macina intero: l'injera e' integrale per costruzione"
cereali_integrali,polenta_mais,40,"peso a crudo, e conta solo se la farina e' integrale (bramata integrale). Quella comune e' degerminata"
cereali_integrali,granola,40,"avena intera, ma spesso zuccherata e ultraprocessata: conta il cereale, non lo zucchero che ci sta intorno"
bevande,caffe_espresso,340,"Greger conta un bicchiere da 340 ml; un espresso e' 30 ml. Servono piu' tazze per una porzione, e la caffeina arriva prima del volume"
bevande,masala_chai,340,"il te' e' fra le bevande che Greger consiglia per primo; lo zucchero del chai no"
bevande,cappuccino,150,"mezza porzione: e' latte, non acqua"
esercizio,,,"NON e' un alimento e non ha food_id. Greger chiede 90 minuti di attivita' moderata o 40 vigorosa al giorno. Il dato per spuntare questa casella esiste gia' in /vita ma da un'altra parte: sono le attivita' di intervals.icu (activities.csv), non il diario alimentare. Chi disegna il grafico deve andarselo a prendere li'"
noci_e_semi,burro_arachidi,32,"due cucchiai di burro di arachidi sono 32 g: questa e' la crema intera, quindi vale la porzione piena (la versione sgrassata in polvere conta a meta')"
altre_verdure,carciofi,80,
